address	length	value
00442896	26	Change the window position
004428cc	28	Reduce the window to an icon
00442906	31	Enlarge the window to full size
00442946	34	Switch to the next document window
0044298c	38	Switch to the previous document window
004429da	57	Close the active window and prompts to save the documents
00442a4e	0	
00442a50	0	
00442a52	0	
00442a54	0	
00442a56	0	
00442a58	0	
00442a5a	0	
00442a5c	0	
00442a5e	0	
00442a60	0	
00442a62	0	
00442a64	33	Restore the window to normal size
00442aa8	18	Activate Task List
00442ace	50	Please put the Creatures CD-ROM into the CD drive.
00442b34	48	Export Files (*.exp)|*.exp|All Files (*.*)|*.*||
00442b96	24	Import a creature/object
00442bc8	23	Export current creature
00442bf8	55	Please enter a filename of no more than 255 characters.
00442c68	12	Score xxxxxx
00442c82	15	Life Force 100%
00442ca2	5	DEATH
00442cae	5	BIRTH
00442cba	5	 EGG 
00442cc6	5	     
00442cd2	10	<Un Named>
00442ce8	5	&Help
00442cf4	33	Which is my Norn\nWhich is my Norn
00442d38	0	
00442d3a	0	
00442d3c	0	
00442d3e	0	
00442d40	0	
00442d42	0	
00442d44	0	
00442d46	0	
00442d48	0	
00442d4a	0	
00442d4c	0	
00442d4e	0	
00442d50	0	
00442d52	0	
00442d54	0	
00442d56	0	
00442d58	0	
00442d5a	59	See which object your pet is thinking about\nCreature's view
00442dd2	46	Toggle between view magnifications\nToggle size
00442e30	0	
00442e32	43	Allow uninhibited movement around the world
00442e8a	0	
00442e8c	18	Select preferences
00442eb2	30	Instantly teach your pet words
00442ef0	0	
00442ef2	0	
00442ef4	50	Add this location to your list of favourite places
00442f5a	0	
00442f5c	0	
00442f5e	51	Follow selected creature with the camera\nTrack Norn
00442fc8	33	Run the crap OLE Test program\nOLE
0044300c	0	
0044300e	46	Enable / disable audible speech from creatures
0044306c	0	
0044306e	22	Select subject\nSubject
0044309c	22	Select subject\nSubject
004430ca	22	Select subject\nSubject
004430f8	22	Select subject\nSubject
00443126	22	Select subject\nSubject
00443154	22	Select subject\nSubject
00443182	22	Select subject\nSubject
004431b0	22	Select subject\nSubject
004431de	22	Select subject\nSubject
0044320c	22	Select subject\nSubject
0044323a	22	Select subject\nSubejct
00443268	22	Select subject\nSubject
00443298	22	Select subject\nSubject
004432c6	22	Select subject\nSubject
004432f4	16	The subject menu
00443316	43	There are no available subjects\nNo subjects
0044336e	16	<None Available>
00443390	0	
00443392	0	
00443394	52	infect with a randomly selected species of bacterium
004433fe	45	enable/disable logging of sound manager calls
0044345a	47	Creation/deletion of macros, macro errors, etc.
004434ba	22	input/output call nest
004434e8	23	Sprite cache size, etc.
00443518	27	concentrations at intervals
00443550	42	Attention shifts & associated sensory data
004435a6	42	changes in conscious & involuntary actions
004435fc	42	sensory data, and internal sensory stimuli
00443654	8	(Female)
00443666	6	(Male)
00443674	10	(Deceased)
0044368a	0	
0044368c	0	
0044368e	0	
00443690	0	
00443692	0	
00443694	0	
00443696	0	
00443698	0	
0044369a	0	
0044369c	0	
0044369e	0	
004436a0	0	
004436a2	0	
004436a4	29	Stimuli received from objects
004436e0	26	Genes that switch on, etc.
00443716	48	changes in phase of life, death, infection, etc.
00443778	30	changes in weather, time, etc.
004437b6	12	User actions
004437d0	39	Applet interactions and other OLE stuff
00443820	14	Brain activity
0044383e	0	
00443840	0	
00443842	0	
00443844	0	
00443846	0	
00443848	0	
0044384a	0	
0044384c	0	
0044384e	0	
00443850	41	Connect to CyberLife Web site\nWeb Connect
004438a4	0	
004438a6	0	
004438a8	0	
004438aa	0	
004438ac	21	Resume Operation\nPlay
004438d8	21	Pause Operation\nPause
00443904	29	Store current camera position
00443940	17	kill current norn
00443964	0	
00443966	0	
00443968	0	
0044396a	0	
0044396c	0	
0044396e	0	
00443970	0	
00443974	39	Retrieve a creature from the disk drive
004439c4	48	Force selected creature to advance to next stage
00443a26	40	Enable smooth scrolling\nSmooth Scrolling
00443a78	48	Remove an item from the list of favourite places
00443ada	0	
00443adc	0	
00443ade	0	
00443ae0	0	
00443ae2	0	
00443ae4	0	
00443ae6	0	
00443ae8	0	
00443aea	0	
00443aec	0	
00443aee	0	
00443af0	0	
00443af4	13	xxxx h : xx m
00443b10	2	xx
00443b16	31	Internet explorer could not run
00443b56	9	Saving...
00443b6a	46	An Error has occurred while storing world data
00443bc8	46	It is too dangerous to export a pregnant norn!
00443c26	0	
00443c28	0	
00443c2a	0	
00443c2c	0	
00443c2e	0	
00443c30	0	
00443c32	0	
00443c34	0	
00443c36	0	
00443c38	0	
00443c3c	0	
00443c3e	0	
00443c40	0	
00443c42	0	
00443c44	0	
00443c46	0	
00443c48	29	Hatch a new norn\nThe Hatchery
00443c84	0	
00443c86	24	Norn Details\nOwner's Kit
00443cb8	29	Initial Monitoring\nHealth Kit
00443cf4	31	Advanced monitoring\nScience Kit
00443d34	34	Pregnancy monitoring\nBreeder's Kit
00443d7a	0	
00443d7c	0	
00443d7e	28	Scoring Data\nPerformance Kit
00443db8	36	Pay your respects\nCreature Graveyard
00443e04	0	
00443e06	0	
00443e08	0	
00443e0a	0	
00443e0c	0	
00443e0e	0	
00443e10	0	
00443e12	0	
00443e14	0	
00443e16	0	
00443e18	0	
00443e1a	0	
00443e1c	0	
00443e1e	0	
00443e20	0	
00443e22	26	Save your creature to disk
